VvINV2,VvACYT,VvADH1,VvAGPL,VvHP,VvDMR6,VvLOX,VvOLP,VvSAMT,VvSUSY,VvWRKY,VvCASY,VvCKO,VvGLC1,VvGLC2,VvGLC3,status
14.28706414,0.390157636,0.692433499,27.04408159,1.867843993,6.92390383,1.834223786,15.52895342,24.38038522,-0.841219267,0.767705799,NA,-0.742577922,3.117162865,12.52440415,4.092919471,1
21.95871726,-0.896626416,-0.093318943,26.53030153,2.290644604,13.37487434,2.920422383,15.71730659,46.97930586,4.680630279,6.036514968,3.587144631,-0.756936357,5.383074237,6.161547882,41.39994444,1
18.06729901,0.153118468,2.959494075,27.92535711,0.467305106,17.74039302,1.069250179,22.70125201,23.88971278,5.097104364,6.587962142,5.30140873,NA,7.53407089,6.988458312,3.045707604,1
7.393694671,-0.795038201,0.012488781,23.54752286,2.477838767,4.871566164,-0.739092028,11.91225609,15.84565855,-0.270351363,1.50888234,-1.153293767,-0.720757624,NA,NA,3.816095022,1
23.62646794,-1.235253798,0.810383092,65.66410794,0.365354532,14.81654258,3.19018745,25.63417986,21.20457126,0.339439353,4.976740931,7.048063849,NA,7.019463098,14.24684164,2.797904249,1
1.215534294,0.434172042,-0.917228727,-0.339277087,0.169102891,1.258312684,1.541773652,0.968475799,2.25704845,0.341408306,1.451966346,0.691611347,1.052334826,1.463685987,1.059091679,0.535705238,0
-0.078479543,-0.028944803,1.077883861,5.99787332,1.044731561,3.619803612,0.238284834,4.83183571,0.0908269,4.795595736,0.20797396,1.625629047,-0.22221499,-0.447304367,3.830173906,0.315120728,1
-0.433135187,-0.028944803,-1.731712893,-0.339277087,-0.508466913,-0.741197883,-0.210917467,-0.274125343,-0.208901869,-0.873370084,0.152321669,-0.58136439,0.079797902,-0.447304367,-0.605551242,0.126048292,0
NA,-0.72362007,NA,0.090360229,-1.081795208,0.172371601,-0.186853058,0.49402809,-0.386014322,0.206432929,-0.400927577,-0.332795163,0.160149955,-0.212198298,-0.276609827,0.015756036,0
-0.615255653,-0.260503225,NA,-0.458620786,-1.331974828,0.241320241,-0.507711844,-0.680794807,-0.522254671,-0.805882396,-0.342001622,-0.686818001,-0.266547157,-0.911488144,-0.745102146,-0.582973347,0
0.285761389,NA,-0.446471825,-0.196064648,-0.247863142,0.379217521,-0.267067754,0.132544122,-0.168029764,0.881309812,0.40439381,-0.136952742,0.764175737,1.632480088,0.640438968,0.204828473,0
